TB2:S10703Taxa9_processed,PROGEN2_XLARGE,40,40,1.0,2.503258228302002,2.504777193069458
TB2:S10701Taxa16_processed,PROGEN2_XLARGE,23,29,0.7931034482758621,0.6786460876464844,0.6799578666687012
TB2:S14082Taxa1_processed,PROGEN2_XLARGE,105,125,0.84,2.3243556022644043,2.330784320831299
TB2:S10169Taxa2_processed,PROGEN2_XLARGE,97,99,0.9797979797979798,1.968207836151123,1.9721684455871582
TB2:S13791_processed,PROGEN2_XLARGE,22,24,0.9166666666666666,0.5606348514556885,0.5615799427032471
TB2:S750Taxa2_processed,PROGEN2_XLARGE,23,27,0.8518518518518519,0.590930700302124,0.5919573307037354
TB2:S1179_processed,PROGEN2_XLARGE,146,150,0.9733333333333334,2.988180160522461,2.995173692703247
TB2:S13557Taxa2_processed,PROGEN2_XLARGE,66,74,0.8918918918918919,1.363361120223999,1.366112470626831
TB2:S11183Taxa3_processed,PROGEN2_XLARGE,22,24,0.9166666666666666,0.5009841918945312,0.501976490020752
TB2:S13458Taxa2_processed,PROGEN2_XLARGE,15,25,0.6,0.6548480987548828,0.6561298370361328
TB2:S14151Taxa8_processed,PROGEN2_XLARGE,19,29,0.6551724137931034,0.6929199695587158,0.6941232681274414
TB2:S679Taxa1_processed,PROGEN2_XLARGE,84,90,0.9333333333333333,1.5579721927642822,1.5614628791809082
TB2:S11894_processed,PROGEN2_XLARGE,110,112,0.9821428571428571,1.830326795578003,1.834972620010376
TB2:S12540Taxa3_processed,PROGEN2_XLARGE,4,6,0.6666666666666666,0.2220170497894287,0.22238636016845703
TB2:S10218Taxa1_processed,PROGEN2_XLARGE,20,22,0.9090909090909091,0.4847884178161621,0.48563313484191895
TB2:S10632Taxa2_processed,PROGEN2_XLARGE,4,14,0.2857142857142857,0.42837977409362793,0.4289669990539551
TB2:S1976Taxa5_processed,PROGEN2_XLARGE,11,17,0.6470588235294118,0.450608491897583,0.45139122009277344
TB2:S2026Taxa1_processed,PROGEN2_XLARGE,41,51,0.803921568627451,1.2224962711334229,1.224942684173584
TB2:S13424Taxa4_processed,PROGEN2_XLARGE,44,44,1.0,0.9037051200866699,0.9052703380584717
TB2:S14595Taxa4_processed,PROGEN2_XLARGE,193,203,0.9507389162561576,5.563280344009399,5.574576377868652
TB2:S14416_processed,PROGEN2_XLARGE,284,344,0.8255813953488372,5.588178873062134,5.614560842514038
TB2:S14752Taxa2_processed,PROGEN2_XLARGE,28,36,0.7777777777777778,0.6894795894622803,0.6907675266265869
TB2:S14212_processed,PROGEN2_XLARGE,71,71,1.0,1.4063246250152588,1.4092655181884766
TB2:S362Taxa2_processed,PROGEN2_XLARGE,47,47,1.0,1.076333999633789,1.077958345413208
TB2:S1522_processed,PROGEN2_XLARGE,71,75,0.9466666666666667,1.386110782623291,1.3890612125396729
TB2:S9988_processed,PROGEN2_XLARGE,51,53,0.9622641509433962,1.687626600265503,1.6909074783325195
TB2:S14096Taxa3_processed,PROGEN2_XLARGE,25,29,0.8620689655172413,0.814765214920044,0.8161170482635498
TB2:S1557_processed,PROGEN2_XLARGE,42,44,0.9545454545454546,1.168147325515747,1.1696784496307373
TB2:S1641Taxa1_processed,PROGEN2_XLARGE,63,69,0.9130434782608695,1.5433285236358643,1.5465853214263916
TB2:S13715Taxa6_processed,PROGEN2_XLARGE,0,4,0.0,0.18255043029785156,0.18289732933044434
TB2:S923_processed,PROGEN2_XLARGE,75,77,0.974025974025974,1.5601356029510498,1.562986135482788
TB2:S1759Taxa4_processed,PROGEN2_XLARGE,43,49,0.8775510204081632,0.9590935707092285,0.960831880569458
TB2:S10433Taxa3_processed,PROGEN2_XLARGE,94,132,0.7121212121212122,2.461495876312256,2.4686694145202637
TB2:S10504Taxa1_processed,PROGEN2_XLARGE,16,20,0.8,0.5088305473327637,0.5095992088317871
TB2:S746Taxa3_processed,PROGEN2_XLARGE,31,31,1.0,0.58774733543396,0.5888290405273438
TB2:S2230_processed,PROGEN2_XLARGE,50,60,0.8333333333333334,1.0805466175079346,1.0827031135559082
TB2:S10126Taxa3_processed,PROGEN2_XLARGE,2,6,0.3333333333333333,0.19252920150756836,0.1929035186767578
TB2:S11618Taxa5_processed,PROGEN2_XLARGE,23,27,0.8518518518518519,0.7011501789093018,0.7022895812988281
TB2:S2184Taxa2_processed,PROGEN2_XLARGE,16,16,1.0,0.483734130859375,0.4844973087310791
TB2:S2085Taxa1_processed,PROGEN2_XLARGE,4,10,0.4,0.34930419921875,0.34981632232666016
TB2:S10128_processed,PROGEN2_XLARGE,34,40,0.85,1.2711584568023682,1.2729692459106445
TB2:S11337Taxa2_processed,PROGEN2_XLARGE,94,106,0.8867924528301887,1.7743885517120361,1.7786874771118164
TB2:S15139_processed,PROGEN2_XLARGE,172,172,1.0,2.9972004890441895,3.0059092044830322
TB2:S1055_processed,PROGEN2_XLARGE,6,10,0.6,0.2757890224456787,0.2762429714202881
TB2:S998_processed,PROGEN2_XLARGE,36,46,0.782608695652174,0.8413479328155518,0.8429656028747559
TB2:S9936Taxa2_processed,PROGEN2_XLARGE,90,114,0.7894736842105263,1.917304277420044,1.9221076965332031
TB2:S11651Taxa2_processed,PROGEN2_XLARGE,16,16,1.0,0.41887331008911133,0.41953134536743164
TB2:S11128Taxa3_processed,PROGEN2_XLARGE,38,46,0.8260869565217391,1.3984112739562988,1.401228666305542
TB2:S10133Taxa2_processed,PROGEN2_XLARGE,41,61,0.6721311475409836,1.4557530879974365,1.4586777687072754
