model,taxonomy,num,homogeneity,completeness,v_measure, nmi
ESMC_300M,order,0,0.41451607877036784,0.4709814527443311,0.4409484566968795,0.4409484566968795
ESMC_300M,order,1,0.6078098437246469,0.6906545264246021,0.6465893549710663,0.6465893549710663
ESMC_300M,order,2,0.6265798858677463,0.7169602972784633,0.6687301308524505,0.6687301308524505
ESMC_300M,order,3,0.596661835934758,0.6705342859732526,0.631444827219959,0.631444827219959
ESMC_300M,order,4,0.6525747739499531,0.7105083234325249,0.6803104072582278,0.6803104072582279
ESMC_300M,family,0,0.40918699702119316,0.50638591492527,0.45262704730219616,0.45262704730219616
ESMC_300M,family,1,0.6958737738200989,0.7505333519826904,0.7221707729518657,0.7221707729518656
ESMC_300M,family,2,0.5743888412296427,0.6648457483188764,0.6163158810995771,0.6163158810995769
ESMC_300M,family,3,0.618029726890628,0.7051936672772453,0.6587408468037768,0.6587408468037768
ESMC_300M,family,4,0.6550999059604259,0.7256950246720569,0.6885928270331234,0.6885928270331234
ESMC_300M,species,0,0.7988790136440778,0.8366066428646645,0.8173076749404483,0.8173076749404483
ESMC_300M,species,1,0.7624940321854948,0.8436564481183225,0.8010245799426587,0.8010245799426587
ESMC_300M,species,2,0.6552045225048745,0.7989992915953151,0.7199925405990903,0.7199925405990903
ESMC_300M,species,3,0.7291947985352072,0.8172836501589185,0.77073041286413,0.77073041286413
ESMC_300M,species,4,0.7029029021604314,0.7977524635019015,0.7473301793761681,0.7473301793761681
ESMC_300M,genus,0,0.4799257877927951,0.5320319756615907,0.5046373954951242,0.5046373954951242
ESMC_300M,genus,1,0.7011241922435617,0.7618352385040462,0.7302199978927254,0.7302199978927256
ESMC_300M,genus,2,0.6883377778618169,0.7693216377779851,0.7265800788954231,0.7265800788954232
ESMC_300M,genus,3,0.6711449793677399,0.7810416094707966,0.7219349894876453,0.7219349894876452
ESMC_300M,genus,4,0.7284721545379197,0.7891970529798981,0.7576197430789523,0.7576197430789523
ESMC_300M,class,0,0.378283180724754,0.4520641087058729,0.4118957238964909,0.4118957238964909
ESMC_300M,class,1,0.6200417095350294,0.6817962955852958,0.6494542930942996,0.6494542930942996
ESMC_300M,class,2,0.5622142480952516,0.6559431439052711,0.6054727966446214,0.6054727966446214
ESMC_300M,class,3,0.5751614015783083,0.6500816908157051,0.6103309600373051,0.6103309600373051
ESMC_300M,class,4,0.6002112223681981,0.6722832229893213,0.6342062026599762,0.6342062026599762
