dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF101006,ESMC_600M,94,104,0.9038461538461539,1.9319186210632324,1.9374098777770996
TF101008,ESMC_600M,26,40,0.65,0.7461388111114502,0.7518110275268555
TF101032,ESMC_600M,110,114,0.9649122807017544,1.963209629058838,1.9692142009735107
TF101037,ESMC_600M,2,2,1.0,0.1381518840789795,0.1445934772491455
TF101040,ESMC_600M,114,116,0.9827586206896551,1.9675328731536865,1.9736406803131104
TF101052,ESMC_600M,0,2,0.0,0.13547515869140625,0.14050579071044922
TF101054,ESMC_600M,22,22,1.0,0.4541041851043701,0.4593544006347656
TF101057,ESMC_600M,64,72,0.8888888888888888,1.2398431301116943,1.2431299686431885
TF101061,ESMC_600M,182,200,0.91,3.312227249145508,3.326383113861084
TF101064,ESMC_600M,178,204,0.8725490196078431,3.3867099285125732,3.649883508682251
TF101067,ESMC_600M,96,104,0.9230769230769231,1.7682301998138428,1.7734465599060059
TF101068,ESMC_600M,8,24,0.3333333333333333,0.4851102828979492,0.48781704902648926
TF101070,ESMC_600M,12,12,1.0,0.28470802307128906,0.28660011291503906
TF101072,ESMC_600M,84,106,0.7924528301886793,4.802814483642578,4.809307336807251
TF101075,ESMC_600M,72,88,0.8181818181818182,1.4680969715118408,1.4725191593170166
TF101076,ESMC_600M,136,148,0.918918918918919,2.4250428676605225,2.4376473426818848
TF101077,ESMC_600M,20,40,0.5,0.7438967227935791,0.7486083507537842
TF101082,ESMC_600M,110,118,0.9322033898305084,2.001203775405884,2.009495258331299
TF101083,ESMC_600M,88,92,0.9565217391304348,1.5696465969085693,1.5745341777801514
TF101084,ESMC_600M,160,194,0.8247422680412371,3.178795576095581,3.1927011013031006
TF101085,ESMC_600M,42,42,1.0,0.7619962692260742,0.7668607234954834
TF101090,ESMC_600M,98,108,0.9074074074074074,1.8681607246398926,1.876131534576416
TF101093,ESMC_600M,124,152,0.8157894736842105,2.470825433731079,2.4804248809814453
TF101096,ESMC_600M,100,112,0.8928571428571429,1.8867850303649902,1.8933920860290527
TF101103,ESMC_600M,114,130,0.8769230769230769,2.1977083683013916,2.2056777477264404
TF101104,ESMC_600M,4,6,0.6666666666666666,0.2146306037902832,0.22728228569030762
TF101105,ESMC_600M,142,170,0.8352941176470589,2.7713942527770996,2.7835378646850586
TF101106,ESMC_600M,178,218,0.8165137614678899,5.235379219055176,5.25203800201416
TF101107,ESMC_600M,4,10,0.4,0.26703381538391113,0.27723073959350586
TF101111,ESMC_600M,2,6,0.3333333333333333,0.19342970848083496,0.19501018524169922
TF101120,ESMC_600M,124,146,0.8493150684931506,2.414224863052368,2.423288106918335
TF101125,ESMC_600M,190,214,0.8878504672897196,3.518589496612549,3.539698362350464
TF101132,ESMC_600M,62,72,0.8611111111111112,1.2495267391204834,1.2529957294464111
TF101133,ESMC_600M,74,84,0.8809523809523809,3.7655909061431885,3.769829034805298
TF101134,ESMC_600M,72,76,0.9473684210526315,1.3096585273742676,1.3132081031799316
TF101135,ESMC_600M,72,82,0.8780487804878049,2.3959598541259766,2.400026321411133
TF101136,ESMC_600M,90,124,0.7258064516129032,2.0730881690979004,2.080112934112549
TF101137,ESMC_600M,100,112,0.8928571428571429,1.9012939929962158,1.9075264930725098
TF101138,ESMC_600M,0,4,0.0,0.3278355598449707,0.3348207473754883
TF101140,ESMC_600M,132,148,0.8918918918918919,3.817964553833008,3.8269948959350586
TF101146,ESMC_600M,2,2,1.0,0.1318521499633789,0.1360626220703125
TF101147,ESMC_600M,156,190,0.8210526315789474,3.1427206993103027,3.1555163860321045
TF101148,ESMC_600M,44,92,0.4782608695652174,1.5673925876617432,1.5748140811920166
TF101150,ESMC_600M,150,172,0.872093023255814,2.8397533893585205,2.8509180545806885
TF101152,ESMC_600M,16,18,0.8888888888888888,0.3902320861816406,0.39549732208251953
TF101154,ESMC_600M,138,150,0.92,4.687119245529175,4.69691014289856
TF101156,ESMC_600M,186,228,0.8157894736842105,5.3679587841033936,5.387902498245239
TF101157,ESMC_600M,154,188,0.8191489361702128,3.2037012577056885,3.2160465717315674
TF101158,ESMC_600M,144,176,0.8181818181818182,3.4707984924316406,3.482797622680664
TF101159,ESMC_600M,28,52,0.5384615384615384,0.9408013820648193,0.9456496238708496
TF101160,ESMC_600M,14,26,0.5384615384615384,0.5356571674346924,0.5401537418365479
