model,taxonomy,num,homogeneity,completeness,v_measure, nmi
MAMBA617,order,mlm_0,0.7554434616224465,0.7818565590216432,0.768423102202338,0.7684231022023379
MAMBA617,order,mlm_1,0.7210375347338942,0.7669991452546776,0.7433085222626153,0.7433085222626153
MAMBA617,order,mlm_2,0.7280845182442371,0.7764642565276468,0.7514965465091229,0.7514965465091229
MAMBA617,order,mlm_3,0.7388111228268093,0.7689711831979629,0.7535895082597063,0.7535895082597063
MAMBA617,order,mlm_4,0.7497384768156609,0.7965134287393758,0.7724184690487658,0.7724184690487657
MAMBA617,family,mlm_0,0.802849250754436,0.8229468803730478,0.8127738449715799,0.8127738449715798
MAMBA617,family,mlm_1,0.7859881734619124,0.8190884080253705,0.8021969906646319,0.8021969906646319
MAMBA617,family,mlm_2,0.7585225037554143,0.7840607675173991,0.7710802360548987,0.7710802360548986
MAMBA617,family,mlm_3,0.7475905517887533,0.7903200393997543,0.7683616950553279,0.768361695055328
MAMBA617,family,mlm_4,0.7812414593444416,0.8022688878134382,0.7916155620036786,0.7916155620036784
MAMBA617,species,mlm_0,0.9494635921032841,0.9589437037508026,0.9541801014553221,0.9541801014553221
MAMBA617,species,mlm_1,0.9611368787493324,0.985198995418344,0.9730191997907847,0.9730191997907847
MAMBA617,species,mlm_2,0.9397061766299453,0.9622613570641523,0.95085002740213,0.95085002740213
MAMBA617,species,mlm_3,0.935945061190721,0.9560436677784289,0.9458876106808702,0.9458876106808703
MAMBA617,species,mlm_4,0.9349884863297621,0.9524455751660507,0.9436362994638697,0.9436362994638697
MAMBA617,genus,mlm_0,0.8712112908653346,0.89351909961716,0.8822241996721814,0.8822241996721814
MAMBA617,genus,mlm_1,0.9015810575826138,0.9228552254591131,0.9120941058877629,0.9120941058877629
MAMBA617,genus,mlm_2,0.88205593588911,0.9089134238161125,0.8952833015727875,0.8952833015727876
MAMBA617,genus,mlm_3,0.8899135745919455,0.9171111954979827,0.903307708663325,0.903307708663325
MAMBA617,genus,mlm_4,0.9120345013474193,0.9337577210522651,0.9227682803777653,0.9227682803777653
MAMBA617,class,mlm_0,0.6613094962271554,0.701703025583991,0.6809077201042997,0.6809077201042997
MAMBA617,class,mlm_1,0.6479950564077571,0.6863988094143653,0.6666443043795729,0.6666443043795729
MAMBA617,class,mlm_2,0.6688170755130096,0.7079654891690839,0.6878346954365122,0.6878346954365121
MAMBA617,class,mlm_3,0.6560715839077681,0.6785286662883732,0.6671111844212743,0.6671111844212743
MAMBA617,class,mlm_4,0.621702183135744,0.6547572848168057,0.6378017377199983,0.6378017377199982
