model,taxonomy,num,homogeneity,completeness,v_measure, nmi
ESM2,order,0,0.5723343012768641,0.6752238932621939,0.6195363019493401,0.61953630194934
ESM2,order,0,0.5723343012768641,0.6752238932621939,0.6195363019493401,0.61953630194934
ESM2,order,1,0.5977507858671367,0.6996363340511811,0.6446929556794522,0.6446929556794522
ESM2,order,2,0.6214505903405904,0.7063932175307792,0.6612049993301883,0.6612049993301883
ESM2,order,3,0.5391917741310105,0.6228915983656493,0.5780274186223083,0.5780274186223083
ESM2,order,4,0.5310416809019752,0.6633059787195043,0.5898502317209221,0.5898502317209221
ESM2,family,0,0.6010623611608171,0.6868682516349952,0.6411069805040586,0.6411069805040586
ESM2,family,1,0.6267651200750823,0.7450512007040068,0.6808084992109233,0.6808084992109232
ESM2,family,2,0.5489435309226514,0.6472277542190411,0.5940478477044403,0.5940478477044403
ESM2,family,3,0.5115235655413461,0.6374065136217558,0.5675688337528386,0.5675688337528386
ESM2,family,4,0.5806175220030798,0.6960475280053077,0.633114207840429,0.633114207840429
ESM2,species,0,0.7211512296230703,0.8167434198093722,0.765976423286794,0.7659764232867942
ESM2,species,1,0.6995967528067659,0.7968770634595602,0.7450749888473599,0.7450749888473599
ESM2,species,2,0.6872748287832147,0.7902495286780464,0.7351738152749341,0.7351738152749341
ESM2,species,3,0.7157101985825528,0.8163610549240152,0.7627294506015277,0.7627294506015277
ESM2,species,4,0.5987963067381316,0.7258077573967634,0.656212699777445,0.6562126997774451
ESM2,genus,0,0.5570916880779218,0.6712097967197403,0.6088495427824636,0.6088495427824636
ESM2,genus,1,0.6668424215330199,0.7461000605521854,0.7042483008229761,0.7042483008229761
ESM2,genus,2,0.6129573687783584,0.7315410430612382,0.6670197137602696,0.6670197137602696
ESM2,genus,3,0.6620446013190616,0.757338487942639,0.7064926461458223,0.7064926461458223
ESM2,genus,4,0.6904984919485847,0.7729126289012754,0.7293849241140236,0.7293849241140236
ESM2,class,0,0.4880054286900205,0.610411839758927,0.5423882163827514,0.5423882163827514
ESM2,class,1,0.572440053498676,0.6603727961743932,0.613270439014954,0.6132704390149541
ESM2,class,2,0.6089399858403179,0.6817889712804381,0.6433086733309465,0.6433086733309467
ESM2,class,3,0.502667036028372,0.5879624864368889,0.5419793876201746,0.5419793876201746
ESM2,class,4,0.5092177217623937,0.6472727317514967,0.5700051302973586,0.5700051302973584
