model,taxonomy,num,homogeneity,completeness,v_measure, nmi
ESMC_600M,order,0,0.5215093691776023,0.6239005252183885,0.5681284419282826,0.5681284419282827
ESMC_600M,order,1,0.5273908089350293,0.6327846526968299,0.575300583237725,0.575300583237725
ESMC_600M,order,2,0.5294147410831698,0.6414282108861069,0.5800633630984522,0.5800633630984522
ESMC_600M,order,3,0.45907164048622634,0.6012401501479334,0.5206247907316341,0.5206247907316341
ESMC_600M,order,4,0.5350661145891558,0.6562311620358439,0.5894868812889507,0.5894868812889507
ESMC_600M,family,0,0.4759987286599461,0.6307442280613347,0.5425531716167125,0.5425531716167125
ESMC_600M,family,1,0.5428076006987087,0.6743438023517968,0.6014682158410728,0.6014682158410729
ESMC_600M,family,2,0.4394661490301217,0.5682380668898234,0.4956243926406873,0.4956243926406873
ESMC_600M,family,3,0.4906214784445276,0.6049346817729498,0.54181421037311,0.54181421037311
ESMC_600M,family,4,0.4470222050416888,0.5934308917696283,0.5099255057084464,0.5099255057084464
ESMC_600M,species,0,0.5718589339025046,0.7599246057554749,0.652613074051374,0.652613074051374
ESMC_600M,species,1,0.5128038205722347,0.7305979974515647,0.6026265024946508,0.6026265024946508
ESMC_600M,species,2,0.4723034040146231,0.6755287917316326,0.555925420156566,0.5559254201565661
ESMC_600M,species,3,0.536831473621791,0.7425060647045174,0.6231359792817643,0.6231359792817643
ESMC_600M,species,4,0.5187516500134326,0.6741584262806877,0.586332202155596,0.586332202155596
ESMC_600M,genus,0,0.36357841351117653,0.563549295126861,0.44199813412665306,0.4419981341266531
ESMC_600M,genus,1,0.5379828215497862,0.6662339312659579,0.5952788969537083,0.5952788969537084
ESMC_600M,genus,2,0.5654574284147784,0.7209988138849454,0.6338251108497486,0.6338251108497485
ESMC_600M,genus,3,0.5028394964916569,0.6641050728414459,0.5723292591969303,0.5723292591969305
ESMC_600M,genus,4,0.584396743656729,0.7032430934564692,0.6383352890609831,0.6383352890609831
ESMC_600M,class,0,0.5051675131210116,0.6046715988873923,0.5504589711423629,0.5504589711423629
ESMC_600M,class,1,0.48757962484671535,0.5725812915487251,0.5266728229838672,0.5266728229838672
ESMC_600M,class,2,0.5106432467718595,0.5924121393904042,0.5484969514320993,0.5484969514320993
ESMC_600M,class,3,0.49315962845171574,0.5755585854024116,0.5311825969646867,0.5311825969646867
ESMC_600M,class,4,0.5303687580946613,0.6126912249159394,0.5685655851555604,0.5685655851555604
