model,taxonomy,num,homogeneity,completeness,v_measure, nmi
MAMBA617,order,best_0,0.7645678100781126,0.8020578374920067,0.7828642475225445,0.7828642475225445
MAMBA617,order,best_1,0.7745972746179115,0.8041871857044315,0.789114939986321,0.789114939986321
MAMBA617,order,best_2,0.7560501679948106,0.79462835108477,0.7748593805087047,0.7748593805087046
MAMBA617,order,best_3,0.7732523496963883,0.8005612787507026,0.786669880957556,0.7866698809575559
MAMBA617,order,best_4,0.8252118700292881,0.8465606839580397,0.83574996303903,0.8357499630390302
MAMBA617,family,best_0,0.8748528489665193,0.8977040140105912,0.8861311369913297,0.8861311369913297
MAMBA617,family,best_1,0.8650307479306636,0.8866282108661947,0.8756963340727054,0.8756963340727054
MAMBA617,family,best_2,0.8557704887916415,0.8800449651740468,0.867737994018924,0.867737994018924
MAMBA617,family,best_3,0.8295145424331131,0.8601197947661554,0.8445399839302217,0.8445399839302218
MAMBA617,family,best_4,0.8322674072810451,0.8679466550136398,0.8497326639582352,0.8497326639582352
MAMBA617,species,best_0,0.9821136105188323,0.9914790153449611,0.9867740918295254,0.9867740918295254
MAMBA617,species,best_1,0.9929126471945776,0.998328965377203,0.9956134399014018,0.9956134399014018
MAMBA617,species,best_2,0.9743496859438368,0.9917463029947776,0.9829710291821291,0.982971029182129
MAMBA617,species,best_3,0.9822442637735118,0.9878439776667435,0.9850361624990117,0.9850361624990118
MAMBA617,species,best_4,0.9820567466164426,0.9905959830348128,0.986307882464918,0.986307882464918
MAMBA617,genus,best_0,0.926707707223227,0.9496019881185307,0.9380151724085769,0.938015172408577
MAMBA617,genus,best_1,0.9629348507961186,0.972546698259327,0.9677169076994131,0.967716907699413
MAMBA617,genus,best_2,0.9564960287072147,0.9711652208690428,0.9637748096912782,0.963774809691278
MAMBA617,genus,best_3,0.9631592086463598,0.9767413947674704,0.9699027539667102,0.9699027539667103
MAMBA617,genus,best_4,0.9533763098685027,0.9720131932130897,0.962604553318503,0.962604553318503
MAMBA617,class,best_0,0.7095514146978041,0.736215325485241,0.7226374922058583,0.7226374922058582
MAMBA617,class,best_1,0.6570250706077717,0.7009062507906231,0.6782566565161814,0.6782566565161813
MAMBA617,class,best_2,0.7067590992183439,0.7451846468590104,0.7254634088796923,0.7254634088796923
MAMBA617,class,best_3,0.7003215416258965,0.73673437534145,0.7180666352868715,0.7180666352868715
MAMBA617,class,best_4,0.669252040691174,0.704389770685683,0.6863714944740417,0.6863714944740417
