model,taxonomy,num,homogeneity,completeness,v_measure, nmi
MAMBA617,order,noattention_0,0.7426967926700533,0.7857372400163598,0.7636110104351486,0.7636110104351483
MAMBA617,order,noattention_0,0.7426967926700533,0.7857372400163598,0.7636110104351486,0.7636110104351483
MAMBA617,order,noattention_0,0.7426967926700533,0.7857372400163598,0.7636110104351486,0.7636110104351483
MAMBA617,order,noattention_1,0.781972287873195,0.8105366520499185,0.7959982946647135,0.7959982946647135
MAMBA617,order,noattention_2,0.7345946302195446,0.7942163511744548,0.7632429043299186,0.7632429043299186
MAMBA617,order,noattention_3,0.6838389169071976,0.7570620660001461,0.7185899786125085,0.7185899786125084
MAMBA617,order,noattention_4,0.7262960237813635,0.7914285501327049,0.7574647191565841,0.7574647191565842
MAMBA617,family,noattention_0,0.7829713111574825,0.8290882307928393,0.8053701271402686,0.8053701271402686
MAMBA617,family,noattention_1,0.8268294396802475,0.8622015175216886,0.8441450934740744,0.8441450934740745
MAMBA617,family,noattention_2,0.7788491244366368,0.8177615436707321,0.7978311494572464,0.7978311494572465
MAMBA617,family,noattention_3,0.7695619141118225,0.8123275131706154,0.790366640221132,0.7903666402211318
MAMBA617,family,noattention_4,0.7893473504066547,0.8353696987055893,0.8117067013527814,0.8117067013527814
MAMBA617,species,noattention_0,0.919181629955632,0.9431127127895307,0.9309934103068739,0.930993410306874
MAMBA617,species,noattention_1,0.9328224880908232,0.9544213364342642,0.9434983166137726,0.9434983166137726
MAMBA617,species,noattention_2,0.9314833581833462,0.9501039505267487,0.9407015176634322,0.9407015176634322
MAMBA617,species,noattention_3,0.9306190854266546,0.9415436602916045,0.9360494989378445,0.9360494989378445
MAMBA617,species,noattention_4,0.9081608237060815,0.9262563250324619,0.9171193233588136,0.9171193233588136
MAMBA617,genus,noattention_0,0.8226582519902907,0.8598515338093471,0.8408437986452276,0.8408437986452275
MAMBA617,genus,noattention_1,0.8189302614057823,0.857169523338534,0.8376136888816289,0.8376136888816289
MAMBA617,genus,noattention_2,0.8653812123798256,0.8984065842460932,0.881584712823358,0.881584712823358
MAMBA617,genus,noattention_3,0.8500275507640443,0.8787609839987921,0.8641554845086566,0.8641554845086568
MAMBA617,genus,noattention_4,0.8880353112986812,0.910913119177183,0.8993287430041375,0.8993287430041373
MAMBA617,class,noattention_0,0.6929070124829148,0.7434883260111002,0.7173070825089166,0.7173070825089166
MAMBA617,class,noattention_1,0.676340728810595,0.7327315771305969,0.7034077766052236,0.7034077766052236
MAMBA617,class,noattention_2,0.7197336401886307,0.7580113473136858,0.7383767441884316,0.7383767441884317
MAMBA617,class,noattention_3,0.68241020348059,0.7345407200600811,0.7075165045073508,0.7075165045073508
MAMBA617,class,noattention_4,0.6804496097863479,0.7303561132705515,0.7045201534952621,0.7045201534952621
