dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S10068Taxa3_processed,EVO2,38,44,0.8636363636363636,2.784644603729248,2.7861921787261963
TB2:S11269Taxa9_processed,EVO2,28,30,0.9333333333333333,1.9069936275482178,1.9092388153076172
TB2:S10205Taxa1_processed,EVO2,63,73,0.863013698630137,2.155381441116333,2.158418655395508
TB2:S1019Taxa11_processed,EVO2,26,28,0.9285714285714286,1.1675848960876465,1.168628215789795
TB2:S987Taxa3_processed,EVO2,18,24,0.75,1.9745516777038574,1.9755406379699707
TB2:S12056_processed,EVO2,38,38,1.0,1.552703857421875,1.5541930198669434
TB2:S15931Taxa6_processed,EVO2,88,98,0.8979591836734694,0.15494513511657715,0.15878725051879883
TB2:S10898_processed,EVO2,160,168,0.9523809523809523,2.683199882507324,2.6923747062683105
TB2:S10701Taxa1_processed,EVO2,26,32,0.8125,0.7968840599060059,0.7982027530670166
TB2:S876Taxa2_processed,EVO2,29,29,1.0,0.4855358600616455,0.48658013343811035
TB2:S2227Taxa2_processed,EVO2,24,34,0.7058823529411765,1.4485714435577393,1.4498305320739746
TB2:S11798_processed,EVO2,42,44,0.9545454545454546,0.6783006191253662,0.6799569129943848
TB2:S1275Taxa1_processed,EVO2,14,14,1.0,0.4995553493499756,0.5002853870391846
TB2:S1795Taxa3_processed,EVO2,109,109,1.0,3.8466784954071045,3.851073980331421
TB2:S1199Taxa2_processed,EVO2,4,6,0.6666666666666666,0.11443424224853516,0.1147916316986084
TB2:S1765Taxa1_processed,EVO2,40,40,1.0,2.4449026584625244,2.4463155269622803
TB2:S10260Taxa1_processed,EVO2,31,37,0.8378378378378378,0.2685065269470215,0.27034926414489746
TB2:S14312Taxa4_processed,EVO2,159,197,0.8071065989847716,2.164721727371216,2.177882432937622
TB2:S10127_processed,EVO2,16,24,0.6666666666666666,0.419583797454834,0.4208049774169922
TB2:S15742Taxa3_processed,EVO2,58,64,0.90625,1.0994665622711182,1.1017792224884033
TB2:S1182_processed,EVO2,9,17,0.5294117647058824,0.9210236072540283,0.9217696189880371
TB2:S10464Taxa3_processed,EVO2,93,131,0.7099236641221374,2.5459842681884766,2.5535590648651123
TB2:S1445Taxa5_processed,EVO2,26,32,0.8125,1.1385834217071533,1.1399714946746826
TB2:S13327Taxa3_processed,EVO2,96,96,1.0,1.2218167781829834,1.2255737781524658
TB2:S10270Taxa2_processed,EVO2,86,88,0.9772727272727273,0.6879463195800781,0.6918375492095947
TB2:S11785_processed,EVO2,195,207,0.9420289855072463,3.4070613384246826,3.420280694961548
TB2:S1447Taxa2_processed,EVO2,64,70,0.9142857142857143,1.6208233833312988,1.624237298965454
TB2:S10760Taxa1_processed,EVO2,134,154,0.8701298701298701,2.595754623413086,2.6036219596862793
TB2:S14243_processed,EVO2,46,60,0.7666666666666667,1.3432717323303223,1.3466744422912598
TB2:S11128Taxa2_processed,EVO2,17,21,0.8095238095238095,0.4346747398376465,0.4358072280883789
TB2:S1775Taxa2_processed,EVO2,3,13,0.23076923076923078,0.31421327590942383,0.31484317779541016
TB2:S11685Taxa2_processed,EVO2,136,152,0.8947368421052632,0.9947140216827393,1.0025720596313477
TB2:S12500Taxa4_processed,EVO2,20,28,0.7142857142857143,1.1789085865020752,1.1803715229034424
TB2:S15010Taxa1_processed,EVO2,102,124,0.8225806451612904,7.20350193977356,7.21187949180603
TB2:S2011Taxa2_processed,EVO2,134,156,0.8589743589743589,0.7524771690368652,0.7600457668304443
TB2:S11612Taxa1_processed,EVO2,45,47,0.9574468085106383,1.6754539012908936,1.6773531436920166
TB2:S14534Taxa18_processed,EVO2,35,35,1.0,0.5039231777191162,0.5054066181182861
TB2:S10020Taxa2_processed,EVO2,58,80,0.725,0.7065167427062988,0.710627555847168
TB2:S10176_processed,EVO2,133,139,0.9568345323741008,1.5471491813659668,1.5572617053985596
TB2:S1383Taxa5_processed,EVO2,37,37,1.0,3.6064040660858154,3.6079530715942383
TB2:S2117Taxa1_processed,EVO2,66,66,1.0,1.4462037086486816,1.4495470523834229
TB2:S13754Taxa3_processed,EVO2,22,26,0.8461538461538461,0.4787323474884033,0.4802093505859375
TB2:S14534Taxa31_processed,EVO2,48,56,0.8571428571428571,0.3436107635498047,0.34601545333862305
TB2:S11768Taxa3_processed,EVO2,36,42,0.8571428571428571,2.636239528656006,2.6378610134124756
TB2:S1805_processed,EVO2,35,37,0.9459459459459459,2.632233142852783,2.633554220199585
TB2:S11521Taxa2_processed,EVO2,46,48,0.9583333333333334,1.7757716178894043,1.7775566577911377
TB2:S10078_processed,EVO2,90,108,0.8333333333333334,8.193972110748291,8.200323343276978
TB2:S12996Taxa1_processed,EVO2,44,50,0.88,2.7586183547973633,2.761228322982788
TB2:S1212Taxa3_processed,EVO2,42,46,0.9130434782608695,1.1828069686889648,1.1851882934570312
TB2:S1501Taxa1_processed,EVO2,10,20,0.5,1.0682613849639893,1.0690386295318604
TB2:S11850_processed,EVO2,111,115,0.9652173913043478,1.2255773544311523,1.2305467128753662
TB2:S13517_processed,EVO2,104,116,0.896551724137931,4.2968714237213135,4.301907539367676
TB2:S15827Taxa2_processed,EVO2,30,48,0.625,1.256575345993042,1.258375644683838
TB2:S2207Taxa3_processed,EVO2,40,58,0.6896551724137931,1.0934391021728516,1.0955052375793457
TB2:S10349Taxa3_processed,EVO2,37,41,0.9024390243902439,3.0056889057159424,3.007611036300659
TB2:S10237_processed,EVO2,83,83,1.0,2.563447952270508,2.5666871070861816
TB2:S10021Taxa3_processed,EVO2,50,50,1.0,1.077941656112671,1.0802679061889648
TB2:S12028Taxa2_processed,EVO2,6,20,0.3,0.4562664031982422,0.45705270767211914
TB2:S14106Taxa2_processed,EVO2,70,86,0.813953488372093,1.601468563079834,1.605093002319336
TB2:S12160Taxa1_processed,EVO2,60,60,1.0,4.212700366973877,4.216024160385132
TB2:S9962_processed,EVO2,46,46,1.0,1.4191336631774902,1.4207873344421387
TB2:S1966Taxa2_processed,EVO2,91,105,0.8666666666666667,1.081019401550293,1.0892539024353027
TB2:S1828Taxa5_processed,EVO2,28,28,1.0,1.402977705001831,1.4041264057159424
TB2:S1458_processed,EVO2,15,21,0.7142857142857143,1.6360950469970703,1.6370823383331299
TB2:S1645Taxa1_processed,EVO2,36,42,0.8571428571428571,1.2606263160705566,1.2627639770507812
TB2:S2053Taxa3_processed,EVO2,22,38,0.5789473684210527,0.21158719062805176,0.2131202220916748
