TB2:S10703Taxa9_processed,ESM2,36,40,0.9,2.098533868789673,2.1008896827697754
TB2:S10701Taxa16_processed,ESM2,19,29,0.6551724137931034,0.26776862144470215,0.26979541778564453
TB2:S14082Taxa1_processed,ESM2,89,125,0.712,0.9674046039581299,0.9774134159088135
TB2:S10169Taxa2_processed,ESM2,95,99,0.9595959595959596,1.2042086124420166,1.2104926109313965
TB2:S13791_processed,ESM2,22,24,0.9166666666666666,0.18206334114074707,0.18358588218688965
TB2:S750Taxa2_processed,ESM2,21,27,0.7777777777777778,0.2115612030029297,0.21317815780639648
TB2:S1179_processed,ESM2,142,150,0.9466666666666667,2.0352039337158203,2.0460898876190186
TB2:S13557Taxa2_processed,ESM2,60,74,0.8108108108108109,0.6464452743530273,0.6508264541625977
TB2:S11183Taxa3_processed,ESM2,20,24,0.8333333333333334,0.1793839931488037,0.1809239387512207
TB2:S13458Taxa2_processed,ESM2,9,25,0.36,0.3841428756713867,0.38589930534362793
TB2:S14151Taxa8_processed,ESM2,19,29,0.6551724137931034,0.1413886547088623,0.14336490631103516
TB2:S679Taxa1_processed,ESM2,70,90,0.7777777777777778,0.5858616828918457,0.5912301540374756
TB2:S11894_processed,ESM2,96,112,0.8571428571428571,0.37643957138061523,0.3843398094177246
TB2:S12540Taxa3_processed,ESM2,2,6,0.3333333333333333,0.10714054107666016,0.10771489143371582
TB2:S10218Taxa1_processed,ESM2,20,22,0.9090909090909091,0.11991190910339355,0.12113165855407715
TB2:S10632Taxa2_processed,ESM2,4,14,0.2857142857142857,0.26460933685302734,0.2655448913574219
TB2:S1976Taxa5_processed,ESM2,9,17,0.5294117647058824,0.19999361038208008,0.2011411190032959
TB2:S2026Taxa1_processed,ESM2,33,51,0.6470588235294118,0.35767292976379395,0.3615260124206543
TB2:S13424Taxa4_processed,ESM2,44,44,1.0,0.5923774242401123,0.5948901176452637
TB2:S14595Taxa4_processed,ESM2,159,203,0.7832512315270936,4.460470914840698,4.478461980819702
TB2:S14416_processed,ESM2,162,344,0.47093023255813954,1.416407585144043,1.4567103385925293
TB2:S14752Taxa2_processed,ESM2,24,36,0.6666666666666666,0.22374749183654785,0.22581243515014648
TB2:S14212_processed,ESM2,61,71,0.8591549295774648,0.5505363941192627,0.5552341938018799
TB2:S362Taxa2_processed,ESM2,45,47,0.9574468085106383,0.7511889934539795,0.7543125152587891
TB2:S1522_processed,ESM2,65,75,0.8666666666666667,0.3797943592071533,0.3844716548919678
TB2:S9988_processed,ESM2,51,53,0.9622641509433962,0.4096393585205078,0.41492462158203125
TB2:S14096Taxa3_processed,ESM2,11,29,0.3793103448275862,0.5448215007781982,0.5467054843902588
TB2:S1557_processed,ESM2,40,44,0.9090909090909091,0.8544836044311523,0.8570208549499512
TB2:S1641Taxa1_processed,ESM2,63,69,0.9130434782608695,0.24099063873291016,0.24664306640625
TB2:S13715Taxa6_processed,ESM2,0,4,0.0,0.04359793663024902,0.04412508010864258
TB2:S923_processed,ESM2,73,77,0.948051948051948,0.9731981754302979,0.9777905941009521
TB2:S1759Taxa4_processed,ESM2,35,49,0.7142857142857143,0.40328407287597656,0.4061422348022461
TB2:S10433Taxa3_processed,ESM2,72,132,0.5454545454545454,0.3985755443572998,0.40989232063293457
TB2:S10504Taxa1_processed,ESM2,16,20,0.8,0.23042941093444824,0.2316601276397705
TB2:S746Taxa3_processed,ESM2,29,31,0.9354838709677419,0.06654834747314453,0.06824564933776855
TB2:S2230_processed,ESM2,46,60,0.7666666666666667,0.3593618869781494,0.3627665042877197
TB2:S10126Taxa3_processed,ESM2,2,6,0.3333333333333333,0.07636690139770508,0.07696962356567383
TB2:S11618Taxa5_processed,ESM2,19,27,0.7037037037037037,0.204085111618042,0.2064495086669922
TB2:S2184Taxa2_processed,ESM2,12,16,0.75,0.221343994140625,0.22276687622070312
TB2:S2085Taxa1_processed,ESM2,6,10,0.6,0.06376981735229492,0.06456184387207031
TB2:S10128_processed,ESM2,34,40,0.85,0.8633089065551758,0.8661754131317139
TB2:S11337Taxa2_processed,ESM2,92,106,0.8679245283018868,0.4229285717010498,0.43032145500183105
TB2:S15139_processed,ESM2,168,172,0.9767441860465116,1.8251619338989258,1.838735580444336
TB2:S1055_processed,ESM2,6,10,0.6,0.045796871185302734,0.04650068283081055
TB2:S998_processed,ESM2,36,46,0.782608695652174,0.36832118034362793,0.37092065811157227
TB2:S9936Taxa2_processed,ESM2,86,114,0.7543859649122807,0.4338877201080322,0.44145798683166504
TB2:S11651Taxa2_processed,ESM2,14,16,0.875,0.06616926193237305,0.06720495223999023
TB2:S11128Taxa3_processed,ESM2,38,46,0.8260869565217391,0.31394171714782715,0.31844139099121094
TB2:S11208_processed,ESM2,109,115,0.9478260869565217,16.97057604789734,16.978768825531006
TB2:S10133Taxa2_processed,ESM2,37,61,0.6065573770491803,0.39307332038879395,0.3977999687194824
TB2:S11977_processed,ESM2,47,49,0.9591836734693877,0.34930968284606934,0.3521854877471924
TB2:S10033Taxa1_processed,ESM2,129,149,0.8657718120805369,1.034897804260254,1.049133539199829
TB2:S13419_processed,ESM2,36,40,0.9,0.13809657096862793,0.14043855667114258
TB2:S10703Taxa6_processed,ESM2,30,34,0.8823529411764706,0.43149471282958984,0.43412303924560547
TB2:S1699Taxa3_processed,ESM2,15,15,1.0,0.1422595977783203,0.14320755004882812
TB2:S1925Taxa2_processed,ESM2,160,204,0.7843137254901961,3.333357572555542,3.351022481918335
TB2:S15068Taxa2_processed,ESM2,6,6,1.0,0.04385542869567871,0.04442334175109863
