dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S13159Taxa4_processed,ESMC_300M,66,94,0.7021276595744681,1.015197515487671,1.0187585353851318
TB2:S13487Taxa1_processed,ESMC_300M,26,32,0.8125,0.34723448753356934,0.3484194278717041
TB2:S11756Taxa1_processed,ESMC_300M,67,87,0.7701149425287356,1.481916904449463,1.4872345924377441
TB2:S1578Taxa2_processed,ESMC_300M,112,114,0.9824561403508771,1.2325117588043213,1.237114667892456
TB2:S12569Taxa3_processed,ESMC_300M,17,31,0.5483870967741935,0.452045202255249,0.453460693359375
TB2:S14545Taxa1_processed,ESMC_300M,94,138,0.6811594202898551,1.5783193111419678,1.585418462753296
TB2:S14394Taxa1_processed,ESMC_300M,7,21,0.3333333333333333,0.28377604484558105,0.2845761775970459
TB2:S14534Taxa16_processed,ESMC_300M,7,9,0.7777777777777778,0.16264963150024414,0.16310453414916992
TB2:S1019Taxa7_processed,ESMC_300M,11,21,0.5238095238095238,0.30167102813720703,0.3024404048919678
TB2:S13860Taxa1_processed,ESMC_300M,64,64,1.0,0.7733182907104492,0.775679349899292
TB2:S1820Taxa1_processed,ESMC_300M,107,113,0.9469026548672567,1.267117977142334,1.2716431617736816
TB2:S1444Taxa3_processed,ESMC_300M,203,213,0.9530516431924883,2.535017967224121,2.546689510345459
TB2:S14872Taxa7_processed,ESMC_300M,2,8,0.25,0.14918851852416992,0.1495959758758545
TB2:S1473Taxa2_processed,ESMC_300M,41,67,0.6119402985074627,0.820401668548584,0.8231770992279053
TB2:S10182Taxa1_processed,ESMC_300M,22,30,0.7333333333333333,0.3545076847076416,0.3555915355682373
TB2:S937_processed,ESMC_300M,68,74,0.918918918918919,0.8127388954162598,0.8153221607208252
TB2:S11612Taxa2_processed,ESMC_300M,44,46,0.9565217391304348,0.5242700576782227,0.5258712768554688
TB2:S2036Taxa10_processed,ESMC_300M,12,12,1.0,0.22026419639587402,0.22089886665344238
TB2:S11159_processed,ESMC_300M,123,143,0.8601398601398601,1.6470494270324707,1.6539945602416992
TB2:S983_processed,ESMC_300M,22,30,0.7333333333333333,0.36111927032470703,0.3622398376464844
TB2:S13158Taxa6_processed,ESMC_300M,52,62,0.8387096774193549,0.8619973659515381,0.8650074005126953
TB2:S14541Taxa1_processed,ESMC_300M,111,115,0.9652173913043478,1.544224500656128,1.550236463546753
