dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S10703Taxa9_processed,ESMC_600M,34,40,0.85,0.9696440696716309,0.9715690612792969
TB2:S10701Taxa16_processed,ESMC_600M,19,29,0.6551724137931034,0.6870596408843994,0.6886847019195557
TB2:S14082Taxa1_processed,ESMC_600M,95,125,0.76,2.4033312797546387,2.4114933013916016
TB2:S10169Taxa2_processed,ESMC_600M,93,99,0.9393939393939394,1.7559585571289062,1.761162519454956
TB2:S13791_processed,ESMC_600M,20,24,0.8333333333333334,0.4853250980377197,0.4865255355834961
TB2:S750Taxa2_processed,ESMC_600M,25,27,0.9259259259259259,0.6186184883117676,0.6199445724487305
TB2:S1179_processed,ESMC_600M,140,150,0.9333333333333333,2.5537736415863037,2.563122034072876
TB2:S13557Taxa2_processed,ESMC_600M,54,74,0.7297297297297297,1.306396245956421,1.3100237846374512
TB2:S11183Taxa3_processed,ESMC_600M,22,24,0.9166666666666666,0.49062228202819824,0.4918696880340576
TB2:S13458Taxa2_processed,ESMC_600M,13,25,0.52,0.594376802444458,0.5957775115966797
TB2:S14151Taxa8_processed,ESMC_600M,19,29,0.6551724137931034,0.6939747333526611,0.6956253051757812
TB2:S679Taxa1_processed,ESMC_600M,78,90,0.8666666666666667,1.5573184490203857,1.5617859363555908
TB2:S11894_processed,ESMC_600M,98,112,0.875,1.890388011932373,1.89650297164917
TB2:S12540Taxa3_processed,ESMC_600M,2,6,0.3333333333333333,0.19668817520141602,0.19715356826782227
TB2:S10218Taxa1_processed,ESMC_600M,18,22,0.8181818181818182,0.44657111167907715,0.4475827217102051
TB2:S10632Taxa2_processed,ESMC_600M,4,14,0.2857142857142857,0.3592109680175781,0.35995936393737793
TB2:S1976Taxa5_processed,ESMC_600M,11,17,0.6470588235294118,0.4135100841522217,0.4144754409790039
TB2:S2026Taxa1_processed,ESMC_600M,37,51,0.7254901960784313,1.2642264366149902,1.2673821449279785
TB2:S13424Taxa4_processed,ESMC_600M,44,44,1.0,0.8185012340545654,0.8205471038818359
TB2:S14595Taxa4_processed,ESMC_600M,171,203,0.8423645320197044,3.5228915214538574,3.537734270095825
TB2:S14416_processed,ESMC_600M,190,344,0.5523255813953488,5.990073919296265,6.024074077606201
TB2:S14752Taxa2_processed,ESMC_600M,34,36,0.9444444444444444,0.6790316104888916,0.6806931495666504
TB2:S14212_processed,ESMC_600M,65,71,0.9154929577464789,1.3880276679992676,1.3918499946594238
TB2:S362Taxa2_processed,ESMC_600M,45,47,0.9574468085106383,0.8821682929992676,0.8843128681182861
TB2:S1522_processed,ESMC_600M,65,75,0.8666666666666667,1.4500706195831299,1.4538702964782715
TB2:S9988_processed,ESMC_600M,51,53,0.9622641509433962,1.726830005645752,1.731083869934082
TB2:S14096Taxa3_processed,ESMC_600M,17,29,0.5862068965517241,0.6062941551208496,0.6077752113342285
TB2:S1557_processed,ESMC_600M,40,44,0.9090909090909091,0.856020450592041,0.8580300807952881
TB2:S1641Taxa1_processed,ESMC_600M,63,69,0.9130434782608695,1.5907752513885498,1.5950353145599365
TB2:S13715Taxa6_processed,ESMC_600M,0,4,0.0,0.16276955604553223,0.16320586204528809
TB2:S923_processed,ESMC_600M,73,77,0.948051948051948,1.3793714046478271,1.383528232574463
TB2:S1759Taxa4_processed,ESMC_600M,41,49,0.8367346938775511,0.9415857791900635,0.9438731670379639
TB2:S10433Taxa3_processed,ESMC_600M,82,132,0.6212121212121212,2.536449670791626,2.5456995964050293
TB2:S10504Taxa1_processed,ESMC_600M,18,20,0.9,0.45898962020874023,0.45998549461364746
TB2:S746Taxa3_processed,ESMC_600M,29,31,0.9354838709677419,0.6165602207183838,0.6179609298706055
TB2:S2230_processed,ESMC_600M,46,60,0.7666666666666667,1.0670440196990967,1.0698468685150146
TB2:S10126Taxa3_processed,ESMC_600M,0,6,0.0,0.19509267807006836,0.19557404518127441
TB2:S11618Taxa5_processed,ESMC_600M,21,27,0.7777777777777778,0.6450715065002441,0.6465551853179932
TB2:S2184Taxa2_processed,ESMC_600M,14,16,0.875,0.48450446128845215,0.4855926036834717
TB2:S2085Taxa1_processed,ESMC_600M,6,10,0.6,0.32212376594543457,0.3227839469909668
TB2:S10128_processed,ESMC_600M,34,40,0.85,1.0063390731811523,1.0086572170257568
TB2:S11337Taxa2_processed,ESMC_600M,92,106,0.8679245283018868,1.796365737915039,1.8019835948944092
TB2:S15139_processed,ESMC_600M,168,172,0.9767441860465116,2.920698404312134,2.9323813915252686
TB2:S1055_processed,ESMC_600M,2,10,0.2,0.2609226703643799,0.26149582862854004
TB2:S998_processed,ESMC_600M,32,46,0.6956521739130435,0.825998067855835,0.8281574249267578
TB2:S9936Taxa2_processed,ESMC_600M,78,114,0.6842105263157895,1.9518377780914307,1.9584670066833496
TB2:S11651Taxa2_processed,ESMC_600M,12,16,0.75,0.3937222957611084,0.3945622444152832
TB2:S11128Taxa3_processed,ESMC_600M,40,46,0.8695652173913043,1.4589927196502686,1.4626960754394531
TB2:S11208_processed,ESMC_600M,111,115,0.9652173913043478,4.30061674118042,4.306981325149536
TB2:S10133Taxa2_processed,ESMC_600M,37,61,0.6065573770491803,1.4721767902374268,1.476419448852539
TB2:S11977_processed,ESMC_600M,45,49,0.9183673469387755,0.9674742221832275,0.9698097705841064
